enm_id,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined,enm_relative_permittivity,valence,electrolyte_rel_conc,ionic_strength,debye_length,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c
TiO2,0.3,0.015,0.38,0.0005,50.0,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,138.849856511,0.0025,0.00923834509342,1070782.37947,102343.464338,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0
TiO2,0.3,0.015,0.38,0.00113,50.0,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,138.849856511,0.0025,0.00408776331567,473797.513042,231296.229405,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,1.0,NaCl,4510,6.4,-45.65,26.16,4.88e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,42.8543836179,0.000956862745098,0.0747016490819,11015136.0249,23586.3695406,0.280989235903,33.6391419474,1.18752202306,29.2021624669,-0.862780595564,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,1.0,NaCl,4510,6.4,-49.18,26.16,5.05e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,44.3472617357,0.000990196078431,0.0697568846935,11795951.4611,24408.0258566,0.280989235903,33.6391419474,1.18752202306,33.8737061395,-0.829224193994,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,10.0,NaCl,4510,6.4,-49.24,23.47,4.92e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,136.628258807,0.000964705882353,0.0734919257674,11196452.0909,23779.7004385,0.280989235903,33.6391419474,1.18752202306,31.6446432806,-0.776806892879,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,10.0,NaCl,4510,6.4,-48.08,23.47,4.83e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,134.12896139,0.000947058823529,0.0762562723444,10790572.3769,23344.7059183,0.280989235903,33.6391419474,1.18752202306,29.8871023371,-0.788420498208,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,0.01,CaCl2,4510,6.4,26.32,33.31,4.54e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.03,6.57451834745e-08,6.9054488254,0.000890196078431,0.0863094059605,9533709.7593,21943.0569087,0.280989235903,33.6391419474,1.18752202306,17.6876288565,0.972890117813,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,0.05,CaCl2,4510,6.4,24.28,30.82,4.63e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.15,2.94021398884e-08,15.7471531581,0.000907843137255,0.0829865769722,9915444.83393,22378.0514289,0.280989235903,33.6391419474,1.18752202306,15.4069587709,0.972215242549,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,0.1,CaCl2,4510,6.4,20.53,27.21,5.36e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,25.7810646541,0.00105098039216,0.0619213268509,13288617.4727,25906.3403151,0.280989235903,33.6391419474,1.18752202306,13.4619353815,0.961594161112,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,0.1,CaCl2,4510,6.4,25.59,27.21,4.68e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,22.5103325711,0.000917647058824,0.081222831831,10130757.6623,22619.7150512,0.280989235903,33.6391419474,1.18752202306,14.1149513741,0.998119022769,5.0
