influent_concentration_enm,concentration_nom,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c,collector_coating=FeOOH,collector_coating=IronOxide,collector_coating=None,enm_id=Ag,enm_id=C60,enm_id=CeO2,enm_id=CuO,enm_id=Fe,enm_id=MWCNT,enm_id=QD,enm_id=TiO2,enm_id=ZnO,enm_id=nBiochar,enm_id=nHAP,nom_id=Alg,nom_id=Citric,nom_id=FA,nom_id=Formic,nom_id=HA,nom_id=None,nom_id=Oxalic,nom_id=SRHA,nom_id=TRIZMA
50.0,0.0,18.8761771118,0.00108823529412,0.0577542391655,14247418.6798,26824.66208,0.280989235903,33.6391419474,1.18752202306,12.0589183211,-0.960387669788,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,37.2286269445,0.00151764705882,0.0296953133141,27709720.2923,37409.5287386,0.280989235903,33.6391419474,1.18752202306,15.2284356184,-0.941771517722,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,1.0,21.836946554,0.000890196078431,0.0863094059605,9533709.7593,21943.0569087,0.280989235903,33.6391419474,1.18752202306,16.2512033781,-0.964102341128,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,21.9331445565,0.000894117647059,0.0855539662154,9617892.2185,22039.7223576,0.280989235903,33.6391419474,1.18752202306,15.1218768459,-0.978298097159,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,151.245777794,0.00083137254902,0.0495916122027,5459572.71923,40986.1503492,0.281637049703,33.6391419474,12.6669015793,25.9420196281,0.633679807237,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,269.997328717,0.000856862745098,0.0466849681118,5799490.15785,42242.8011854,0.281637049703,33.6391419474,12.6669015793,22.4149066469,0.507071694678,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,364.517686531,0.000896078431373,0.0426881702826,6342483.4396,44176.1101642,0.281637049703,33.6391419474,12.6669015793,17.5594297878,0.503744043567,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,571.906934356,0.000994117647059,0.0346835882472,7806257.27519,49009.382611,0.281637049703,33.6391419474,12.6669015793,13.3360888239,0.435883107064,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,252.038995874,0.000758823529412,0.0595275502631,4548297.58469,37409.5287386,0.281637049703,33.6391419474,12.6669015793,54.0948439277,0.787142011002,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,994.727000537,0.000947058823529,0.0382160396562,7084695.733,46689.4118365,0.281637049703,33.6391419474,12.6669015793,52.9041039703,0.595012877315,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
